epoch,train_loss,val_loss,lambda
1,0.0023987961468474295,0.002204564898737667,0.8761883773207244
2,0.00211146568188668,0.0019480005664985864,0.7742187670265551
3,0.0018719251950660288,0.001732658619656253,0.688632686359749
4,0.0016696892486635568,0.0015497785753226772,0.6159483481458348
5,0.00149707923359158,0.0013928718097839848,0.5535868977763974
6,0.0013483052622675167,0.001257042794237972,0.4996026442018881
7,0.0012190118682793899,0.0011385321480256718,0.4525014489819405
8,0.001105813244369097,0.001034411612575214,0.4111194977056976
9,0.001006054879449817,0.0009423697259591593,0.37453811699363565
10,0.000917628973121511,0.0008605597829923166,0.3420233472236839
11,0.0008388424957337321,0.0007874901012238681,0.31298233037749773
12,0.0007683211474995449,0.0007219435937570837,0.28693134412293614
13,0.0007049385324078458,0.000662917974466409,0.2634720372658679
14,0.0006477631520009138,0.0006095807327158869,0.2422735345004952
15,0.0005960182328503107,0.000561234828657149,0.22305880262662897
16,0.0005490510653554579,0.0005172922696957294,0.20559414819299066
17,0.0005063091392319349,0.0004772535628034324,0.18968105122181267
18,0.0004673215503675233,0.0004406915872178332,0.1751497560106319
19,0.00043168446232259085,0.00040723882792543967,0.16185419617511934
20,0.0003990493460889394,0.0003765771971522618,0.14966795008245054
21,0.00036911372286200475,0.00034842985726206996,0.1384809906956238
22,0.0003416136792970746,0.0003225546062779427,0.12819705662216496
23,0.0003163177647076529,0.00029873849535722437,0.1187315128479677
24,0.0002930219876136439,0.0002767934262677113,0.11000960116109354
25,0.000271545806509938,0.0002565525220894039,0.10196499751747075
26,0.0002517286959397994,0.0002378671281465106,0.09453862020711877
27,0.0002334274101821031,0.0002206043138583225,0.08767763697945727
28,0.00021651362474647668,0.0002046447862814002,0.08133463567559357
29,0.00020087197650263739,0.00018988113730760317,0.07546692777895596
30,0.00018639846361979184,0.0001762163620897259,0.07003595937572975
31,0.00017299900572062413,0.00016356260558220633,0.06500681312181898
32,0.0001605882899371514,0.00015184009285036502,0.060347783069474414
33,0.00014908876868424795,0.0001409762134480703,0.05603001070323161
34,0.00013842977171697415,0.00013090473533957086,0.05202717259272284
35,0.00012854677583366952,0.00012156512547183356,0.048315210314684
36,0.00011938076706169648,0.00011290195983262515,0.04487209597593276
37,0.00011087764987936768,0.00010486441113371093,0.04167762865409446
38,0.00010298779201016913,9.740579884316815e-05,0.03871325550991585
39,9.566558352737124e-05,9.048319438723391e-05,0.03596191488403177
40,8.886904517092517e-05,8.405707353525395e-05,0.0334078981588227
41,8.255951249668498e-05,7.80910076469972e-05,0.031036727029074382
42,7.670133102872328e-05,7.255138951163439e-05,0.0288350445503899
43,7.126159479415625e-05,6.740718864352054e-05,0.02679051787836915
44,6.620990885858352e-05,6.262973211038585e-05,0.024891751158915707
45,6.151817542302532e-05,5.819250794640275e-05,0.02312820740278069
46,5.7160412342006224e-05,5.407098729042991e-05,0.021490137786930565
47,5.311256880535108e-05,5.0242464445688056e-05,0.019968518094374832
48,4.935238027126267e-05,4.6685911289570644e-05,0.018554990845919387
49,4.5859219745739836e-05,4.3381845484507076e-05,0.017241812926054704
50,4.261397683276962e-05,4.031220997060245e-05,0.016021807681900133
51,3.9598932456815804e-05,3.746026354483889e-05,0.014888321443183755
52,3.6797660177345035e-05,3.481048028845244e-05,0.013835183540466044
53,3.419491967255375e-05,3.234845798894407e-05,0.0128566699172047
54,3.177657631714847e-05,3.0060833615377204e-05,0.01194746953105272
55,2.952951115073953e-05,2.793520601916879e-05,0.011102653632828526
56,2.7441549141664718e-05,2.5960064747117748e-05,0.010317647474248818
57,2.55013915675113e-05,2.412472422247546e-05,0.009588204146575493
58,2.3698544255138494e-05,2.2419263628333326e-05,0.008910380691380216
59,2.2023266241844352e-05,2.083447090714549e-05,0.008280515840967905
60,2.0466510980181592e-05,1.9361791304131727e-05,0.00769520956842888
61,1.9019878954008682e-05,1.7993279626572665e-05,0.007151304111998988
62,1.7675566017090463e-05,1.6721556408123058e-05,0.006645866554547925
63,1.6426325232780887e-05,1.5539767046312512e-05,0.006176172582316905
64,1.5265424521382745e-05,1.444154408070839e-05,0.005739691492451309
65,1.4186609492323227e-05,1.3420972317179392e-05,0.005334072332650067
66,1.3184071403198657e-05,1.2472556322286176e-05,0.004957130980965316
67,1.225241135630401e-05,1.1591190585794e-05,0.004606838288219219
68,1.1386615530653114e-05,1.0772131546119258e-05,0.004281308958866506
69,1.0582024038292203e-05,1.0010971876277458e-05,0.003978791331656279
70,9.834308017078793e-06,9.303616490291747e-06,0.003697657843131822
71,9.139445279320518e-06,8.646260324650396e-06,0.003436396197237058
72,8.493697908500658e-06,8.035367762749816e-06,0.003193601187827191
73,7.893592873593844e-06,7.467653477221989e-06,0.002967967084438604
74,7.335903284217569e-06,6.940064637514526e-06,0.0027582805607751885
75,6.817630117067288e-06,6.449764448542419e-06,0.002563414152369877
