condition,split,RMSE,MAE,MAPE,R2
Normal,train,0.037159632927730044,0.02942887385118172,0.356679885061451,0.5596793346016904
Normal,val,0.037456145635343406,0.0296891610928015,0.35985769553620434,0.5724432839535942
Normal,test,0.037456145635343406,0.0296891610928015,0.35985769553620434,0.5724432839535942
Leak,train,0.04041148061764124,0.03269675606426322,0.397079808848363,0.7361711517198513
Leak,val,0.040372984303209944,0.03267488770126313,0.3968911758462996,0.708389613338118
Leak,test,0.04605592510699441,0.03708395040528314,0.4514681131505135,0.11985296109494814
Block,train,0.10165253599871346,0.0720842380203056,0.8816680519542832,0.9262917729199377
Block,val,0.09717257270809895,0.06839530238064141,0.8360788029050951,0.8916919526467493
Block,test,0.12115350794148931,0.08639623192071516,1.0633032612658213,-0.4364624758176954
Worn,train,0.03610589556265493,0.028856379896320197,0.35013850272783664,0.9521180815515213
Worn,val,0.03556863412054992,0.028452229010827956,0.3452695988391161,0.8668381497094351
Worn,test,0.03252514966248477,0.02619368560275083,0.31808800192102094,0.34853420422381043
